NAME,state,county,tract,mhi,mhi_moe,aggregate_income,aggregate_income_moe,lq_mean_income,lq_mean_income_moe,lq_upper_limit,lq_upper_limit_moe,mhi_owner,mhi_owner_moe,mhi_renter,mhi_renter_moe,population,population_moe,households,households_moe,avg_household_size,avg_household_size_moe,poverty_count,poverty_count_moe,poverty_universe,poverty_universe_moe,geoid,geo_level,acs_year,poverty_rate,mean_income,income_skew
Census Tract 133.27; San Diego County; California,06,073,013327,144328.0,38324.0,272539500.0,81591257.0,32657.0,26436.0,78015.0,38353.0,190488.0,78475.0,118626.0,50205.0,5851,1368,1685,411,3.17,0.22,494,274,5629,1370,06073013327,tract,2023,0.08775981524249422,161744.51038575667,1.1206731222337778
Census Tract 134.01; San Diego County; California,06,073,013401,134358.0,28611.0,195905100.0,34112633.0,25549.0,16988.0,56152.0,19570.0,134511.0,32590.0,134107.0,89791.0,4670,768,1371,151,3.39,0.38,286,138,4657,766,06073013401,tract,2023,0.061412926776895,142892.12253829322,1.063517784860546
Census Tract 134.09; San Diego County; California,06,073,013409,108590.0,16131.0,240523200.0,29810794.0,27488.0,9183.0,45907.0,8166.0,126611.0,13481.0,60379.0,17213.0,6105,647,2031,216,2.98,0.26,309,210,5978,652,06073013409,tract,2023,0.051689528270324525,118425.99704579025,1.0905792158190464
Census Tract 134.11; San Diego County; California,06,073,013411,158802.0,20076.0,273448200.0,31827013.0,41776.0,15386.0,88212.0,16709.0,160365.0,19451.0,,,4838,461,1657,141,2.91,0.17,207,155,4838,461,06073013411,tract,2023,0.042786275320380325,165026.0712130356,1.0391939094786944
Census Tract 134.12; San Diego County; California,06,073,013412,119348.0,18655.0,261063300.0,44301861.0,33373.0,15925.0,63925.0,15924.0,125781.0,22100.0,93875.0,25545.0,5177,593,1750,250,2.91,0.27,194,167,5106,593,06073013412,tract,2023,0.03799451625538582,149179.0285714286,1.2499499662451703
Census Tract 134.14; San Diego County; California,06,073,013414,143600.0,17448.0,427995900.0,132083183.0,33605.0,19161.0,69300.0,47698.0,140000.0,34395.0,143900.0,838.0,7570,1220,2527,420,2.99,0.31,533,338,7564,1222,06073013414,tract,2023,0.07046536224219989,169369.17293233084,1.1794510649883763
Census Tract 134.15; San Diego County; California,06,073,013415,160804.0,19278.0,98171400.0,30200254.0,68278.0,20811.0,106875.0,17647.0,159643.0,17265.0,176719.0,99514.0,1497,199,485,76,3.09,0.31,4,8,1497,199,06073013415,tract,2023,0.0026720106880427524,202415.25773195876,1.2587700413668736
Census Tract 134.16; San Diego County; California,06,073,013416,122210.0,13770.0,172919000.0,26417672.0,52136.0,13964.0,78093.0,28089.0,125824.0,12148.0,,,4411,683,1237,167,3.55,0.41,102,85,4411,683,06073013416,tract,2023,0.023124008161414644,139789.00565885205,1.1438426123791183
Census Tract 134.17; San Diego County; California,06,073,013417,152700.0,11529.0,104171500.0,15964137.0,37521.0,12104.0,62375.0,47091.0,151250.0,14597.0,156786.0,77648.0,2140,302,664,92,3.22,0.23,85,99,2140,302,06073013417,tract,2023,0.0397196261682243,156884.7891566265,1.0274052989955893
Census Tract 134.18; San Diego County; California,06,073,013418,82440.0,24669.0,247710700.0,43259926.0,20907.0,7118.0,36571.0,6618.0,103988.0,24156.0,39353.0,31875.0,5874,759,2190,363,2.68,0.32,716,427,5816,761,06073013418,tract,2023,0.12310866574965612,113109.90867579909,1.372027033913138
Census Tract 134.20; San Diego County; California,06,073,013420,127222.0,30509.0,130761700.0,24759383.0,32445.0,7172.0,47393.0,15554.0,145417.0,36717.0,76500.0,38976.0,3202,438,962,91,3.33,0.24,292,341,3192,440,06073013420,tract,2023,0.09147869674185463,135926.92307692306,1.0684230956668113
Census Tract 134.21; San Diego County; California,06,073,013421,145000.0,23736.0,195295600.0,27240696.0,28783.0,23914.0,69125.0,39721.0,155156.0,14750.0,117723.0,51177.0,4133,517,1298,147,3.18,0.27,286,257,4133,517,06073013421,tract,2023,0.06919912896201307,150458.8597842835,1.0376473088571276
Census Tract 134.22; San Diego County; California,06,073,013422,149167.0,22408.0,221172100.0,48759245.0,28564.0,10593.0,37355.0,44376.0,149750.0,18413.0,,,4213,684,1336,286,3.15,0.54,158,93,4213,684,06073013422,tract,2023,0.03750296700688346,165547.97904191617,1.1098163738756974
Census Tract 134.23; San Diego County; California,06,073,013423,144375.0,33101.0,166331200.0,28510592.0,48196.0,10344.0,73026.0,6326.0,152292.0,42398.0,,,3315,314,1040,84,3.14,0.33,47,35,3279,314,06073013423,tract,2023,0.014333638304361086,159933.84615384616,1.1077668997668997
Census Tract 134.24; San Diego County; California,06,073,013424,160263.0,33102.0,306481200.0,99904752.0,38400.0,14064.0,68400.0,24562.0,161447.0,23483.0,142083.0,129221.0,6647,1701,1884,400,3.53,0.24,196,237,6647,1701,06073013424,tract,2023,0.02948698661050098,162675.79617834394,1.0150552290818464
Census Tract 134.25; San Diego County; California,06,073,013425,188339.0,2393.0,108068700.0,19640491.0,,,125796.0,13960.0,188589.0,2255.0,,,1987,334,513,46,3.83,0.38,51,72,1987,334,06073013425,tract,2023,0.025666834423754403,210660.23391812865,1.1185162601379888
Census Tract 135.03; San Diego County; California,06,073,013503,99470.0,14426.0,213336700.0,30486439.0,25846.0,8973.0,46219.0,8764.0,138669.0,27574.0,80330.0,29708.0,5992,814,1904,138,3.12,0.27,719,365,5972,817,06073013503,tract,2023,0.12039517749497655,112046.58613445378,1.1264359719961172
Census Tract 135.04; San Diego County; California,06,073,013504,138304.0,17434.0,202576800.0,47094669.0,45147.0,7699.0,63074.0,14387.0,138253.0,16848.0,145333.0,87328.0,3991,646,1309,123,3.05,0.33,101,79,3991,646,06073013504,tract,2023,0.025306940616386872,154756.91367456072,1.1189619510249937
Census Tract 135.05; San Diego County; California,06,073,013505,122422.0,22435.0,295141000.0,59929395.0,29692.0,12612.0,61667.0,28894.0,139432.0,14312.0,102500.0,42116.0,5948,968,1995,257,2.98,0.25,823,562,5948,968,06073013505,tract,2023,0.1383658372562206,147940.35087719298,1.2084457930534787
Census Tract 135.06; San Diego County; California,06,073,013506,102031.0,16350.0,138794300.0,20130334.0,23763.0,16246.0,49922.0,14801.0,99904.0,24192.0,108421.0,23769.0,4330,399,1205,161,3.58,0.35,570,424,4307,401,06073013506,tract,2023,0.13234269793359646,115181.99170124481,1.1288921180939597
Census Tract 136.01; San Diego County; California,06,073,013601,114656.0,13117.0,275112400.0,35471750.0,31316.0,8337.0,56730.0,20290.0,125036.0,9549.0,83202.0,19256.0,5475,763,2023,211,2.66,0.21,395,163,5470,763,06073013601,tract,2023,0.07221206581352833,135992.28868017797,1.1860895956616135
Census Tract 136.04; San Diego County; California,06,073,013604,103606.0,8440.0,241961800.0,37340000.0,38708.0,13130.0,68267.0,8938.0,118408.0,22950.0,91589.0,19475.0,6097,744,1984,237,3.04,0.3,319,255,6084,738,06073013604,tract,2023,0.05243261012491782,121956.55241935483,1.1771186265211941
Census Tract 136.05; San Diego County; California,06,073,013605,157344.0,64870.0,408602900.0,143613753.0,48998.0,6746.0,63706.0,10168.0,176071.0,80592.0,79490.0,12619.0,6286,842,2250,420,2.79,0.33,225,197,6286,842,06073013605,tract,2023,0.03579382755329303,181601.2888888889,1.1541672316001175
Census Tract 136.07; San Diego County; California,06,073,013607,80885.0,33632.0,97814400.0,20685823.0,27258.0,12017.0,39233.0,33035.0,87150.0,55564.0,67788.0,54065.0,2301,544,937,142,2.46,0.41,106,152,2270,537,06073013607,tract,2023,0.04669603524229075,104391.03521878335,1.2906105609047827
